x y
1.135000 0.000000
1.066393 0.171517
1.025406 0.261177
0.945023 0.411894
0.828321 0.594241
0.679782 0.779915
0.505124 0.943656
0.311055 1.064949
0.105030 1.129332
-0.105030 1.129332
-0.311055 1.064949
-0.505124 0.943656
-0.679782 0.779915
-0.828321 0.594241
-0.945023 0.411894
-1.025406 0.261177
-1.066393 0.171517
-1.135000 0.000000
