tri Hmin Hmax
0.2000 0.1700 0.1700
0.2200 0.1700 0.1750
0.2400 0.1650 0.1750
0.2600 0.1650 0.1800
0.2800 0.1650 0.1850
0.3000 0.1650 0.1900
0.3200 0.1600 0.1950
0.3400 0.1600 0.2000
0.3600 0.1600 0.2000
0.3800 0.1600 0.2050
0.4000 0.1550 0.2050
0.4200 0.1550 0.2100
0.4400 0.1550 0.2150
0.4600 0.1550 0.2150
0.4800 0.1500 0.2150
0.5000 0.1500 0.2200
0.5200 0.1500 0.2200
0.5400 0.1500 0.2250
0.5600 0.1500 0.2250
0.5800 0.1450 0.2250
0.6000 0.1450 0.2300
